Time;hGlo;hDif;Tamb;Pload;Wind;Niederschlag; hGloCOSMO; TambCOSMO; NiederCOSMO;Zapfung
2017-01-15 00:00:00;0;0;-2.9;191;0.640222222;0;0;-2.5318;0;0
2017-01-15 00:15:00;0;0;-3;100;0.864444444;0;0;-2.63125;0;0
2017-01-15 00:30:00;0;0;-2.8;100;0.495592593;0;0;-2.7307;0;0
2017-01-15 00:45:00;0;0;-3;100;0.229046296;0;0;-2.837075;0;0
2017-01-15 01:00:00;0;0;-2.8;191.1444444;0.375472222;0;0;-2.94345;0;0
2017-01-15 01:15:00;0;0;-3;100;0.353111111;0;0;-3.049825;0;0
2017-01-15 01:30:00;0;0;-2.8;100;0.426388889;0;0;-3.1562;0;0
2017-01-15 01:45:00;0;0;-2.5;100;0.394388889;0;0;-3.2848;0;0
2017-01-15 02:00:00;0;0;-2.866666667;191.1444444;0.577666667;0;0;-3.4134;0;0
2017-01-15 02:15:00;0;0;-2.9;100;0.445296296;0;0;-3.542;0;0
2017-01-15 02:30:00;0;0;-2.9;100;0.401259259;0;0;-3.6706;0;0
2017-01-15 02:45:00;0;0;-2.6;100;0.162444444;0;0;-3.812575;0.0514475;0
2017-01-15 03:00:00;0;0;-2.3;191.1444444;0.190111111;0;0;-3.95455;0.102895;0
2017-01-15 03:15:00;0;0;-2.3;100;0.336777778;0;0;-4.096525;0.1543425;0
2017-01-15 03:30:00;0;0;-3;100;0.278111111;0;0;-4.2385;0.20579;0
2017-01-15 03:45:00;0;0;-3.2;100;0.312;0;0;-4.376875;0.16526775;0
2017-01-15 04:00:00;0;0;-3.1;191.1444444;0.339111111;0;0;-4.51525;0.1247455;0
2017-01-15 04:15:00;0;0;-2.7;100;0.307111111;0;0;-4.653625;0.08422325;0
2017-01-15 04:30:00;0;0;-2.7;100;0.562111111;0;0;-4.792;0.043701;0
2017-01-15 04:45:00;0;0;-2.8;100;0.519111111;0;0;-4.606175;0.03631575;39.46657203
2017-01-15 05:00:00;0;0;-2.766666667;191.1444444;0.267333333;0;0;-4.42035;0.0289305;8.243018209
2017-01-15 05:15:00;0;0;-3.1;100;0.206722222;0;0;-4.234525;0.02154525;20.23286288
2017-01-15 05:30:00;0;0;-3.025;100;0.269833333;0.002028889;0;-4.0487;0.01416;18.23455543
2017-01-15 05:45:00;0;0;-2.9;100;0.236666667;0.010826667;0;-4.153975;0.0118407;9.741748792
2017-01-15 06:00:00;0;0;-2.8;303.1444444;0.509777778;0.00562;0;-4.25925;0.0095214;0
2017-01-15 06:15:00;0;0;-2.7;708;0.652888889;0.003234444;0;-4.364525;0.0072021;7.993229778
2017-01-15 06:30:00;0;0;-2.7;708;1.174555556;0;0;-4.4698;0.0048828;0
2017-01-15 06:45:00;0;0.003301067;-2.8;720;1.861666667;0;5.827;-4.4959;0.00378417;0
2017-01-15 07:00:00;0.872552124;2.099281055;-2.9;799.1444444;2.148259259;0;11.654;-4.522;0.00268554;0
2017-01-15 07:15:00;6.11440744;8.296366696;-2.9;672;1.125185185;0;17.481;-4.5481;0.00158691;0
2017-01-15 07:30:00;16.3369004;19.50434261;-2.7;660;0.768444444;0;23.308;-4.5742;0.00048828;0
2017-01-15 07:45:00;31.12849898;35.68631399;-2.5;660;0.894666667;0;43.5435;-4.4331;0.00036621;0
2017-01-15 08:00:00;50.61312212;57.31759988;-2.6;751.1444444;0.614740741;0;63.779;-4.292;0.00024414;0
2017-01-15 08:15:00;70.8628004;79.17589244;-2.566666667;660;0.936291005;0;84.0145;-4.1509;0.00012207;0
2017-01-15 08:30:00;91.14754505;103.1393863;-2.4;660;0.838190476;0;104.25;-4.0098;0;7.993229778
2017-01-15 08:45:00;90.36603927;108.2725234;-2.1;660;0.993611111;0;126.31;-4.0037;0;0
2017-01-15 09:00:00;140.1489514;165.4621623;-1.9;751.1444444;0.454722222;0;148.37;-3.9976;0;0
2017-01-15 09:15:00;127.0044054;150.6545305;-2.1;660;0.322793651;0;170.43;-3.9915;0;0
2017-01-15 09:30:00;131.0937694;146.8302494;-1.3;660;0.310650794;0;192.49;-3.9854;0;0
2017-01-15 09:45:00;156.4666821;171.1695116;-1.1;660;0.360555556;0;207.1525;-3.628625;0.00012207;9.242171931
2017-01-15 10:00:00;157.908172;174.2151734;-0.8;1997.811111;0.327222222;0;221.815;-3.27185;0.00024414;6.744287625
2017-01-15 10:15:00;143.2503028;162.1757389;-0.6;988.6666667;0.422;0;236.4775;-2.915075;0.00036621;0
2017-01-15 10:30:00;155.1056781;182.2078211;-1.2;964.3333333;0.327666667;0;251.14;-2.5583;0.00048828;8.492806639
2017-01-15 10:45:00;200.55094;245.8049407;-0.5;423;0.484092593;0;255.9125;-2.416175;0.00036621;0
2017-01-15 11:00:00;169.7093884;206.7661141;-0.8;1253.455556;0.630296296;0;260.685;-2.27405;0.00024414;0
2017-01-15 11:15:00;140.9710333;176.4421234;-1.2;958.6;0.400785714;0;265.4575;-2.131925;0.00012207;7.243864486
2017-01-15 11:30:00;245.1219963;286.8419489;0.9;1616.255556;0.529714286;0;270.23;-1.9898;0;0
2017-01-15 11:45:00;209.0592039;241.4236104;0.6;935.4888889;1.035444444;0;262.32;-1.9618;0;0
2017-01-15 12:00:00;169.1272715;199.7837846;-0.3;746.3222222;1.487571429;0;254.41;-1.9338;0;0
2017-01-15 12:15:00;190.3621599;219.3626821;-0.6;1029.655556;1.638206349;0;246.5;-1.9058;0;0
2017-01-15 12:30:00;176.8617576;208.0172838;-0.3;660;1.318166667;0;238.59;-1.8778;0;0
2017-01-15 12:45:00;204.435845;253.5156934;0.3;660;1.091738095;0;220.2175;-1.92575;0;0
2017-01-15 13:00:00;180.2269651;209.1696201;-0.1;811.1444444;1.112095238;0;201.845;-1.9737;0;0
2017-01-15 13:15:00;140.3825727;158.2455423;-0.1;708;0.636481481;0;183.4725;-2.02165;0;0
2017-01-15 13:30:00;114.4310064;133.9402723;0.3;720;0.468851852;0;165.1;-2.0696;0;0
2017-01-15 13:45:00;104.3976501;132.3550517;0.2;708;0.334984127;0;145.40025;-2.169725;0;0
2017-01-15 14:00:00;91.33161028;117.8027457;0.8;751.1444444;0.188793651;0;125.7005;-2.26985;0;0
2017-01-15 14:15:00;83.75980902;106.3384925;0.9;660;0.332666667;0;106.00075;-2.369975;0;0
2017-01-15 14:30:00;44.73185871;58.52775589;0.216666667;660;0.495761905;0;86.301;-2.4701;0;0
2017-01-15 14:45:00;39.09482463;52.41502784;-1.442857143;660;0.487460317;0;70.097;-2.55895;0;0
2017-01-15 15:00:00;25.51592887;37.63594801;-1.8;751.1444444;0.464888889;0;53.893;-2.6478;0;0
2017-01-15 15:15:00;15.8579026;23.49356564;-1.9;660;0.438148148;0;37.689;-2.73665;0;0
2017-01-15 15:30:00;17.41094444;24.3379347;-1.9;660;0.259185185;0;21.485;-2.8255;0;0
