Time_UTC;hGlo [W/m2];hDif [W/m2];Tamb [C];Pload [W];Zapfung [l/15min];Wind [m/s2];Niederschlag [mm/h]; hGloCOSMO [W/m2];TambCOSMO [C];NiederCOSMO [mm/h]
15.01.2016 00:00;-2.046011719;0;1;191;0;0.837444444;0.00161;0;0.953325;0.0146485
15.01.2016 00:15;-1.918322509;0;1.466666667;100;0;1.153777778;0.412308889;0;0.8575375;0.02197275
15.01.2016 00:30;-1.842892288;0;0.9;100;0;0.531555556;0.329151111;0;0.76175;0.029297
15.01.2016 00:45;-1.734619847;0;0.9;100;0;1.417444444;0;0;0.72651;0.03076175
15.01.2016 01:00;-1.583236399;0;0.5;191.1444444;0;1.280851852;0.001626667;0;0.69127;0.0322265
15.01.2016 01:15;-1.715396776;0;0.8;100;0;1.398842593;0.019141389;0;0.65603;0.03369125
15.01.2016 01:30;-1.704716343;0;1.2;100;0;1.030972222;0.0788575;0;0.62079;0.035156
15.01.2016 01:45;-1.696205822;0;1.3;100;0;1.139888889;0.065272222;0;0.4327625;0.026367
15.01.2016 02:00;-1.613414082;0;1;191.1444444;0;1.355277778;0.687072778;0;0.244735;0.017578
15.01.2016 02:15;-1.94387158;0;1.5;100;0;0.934388889;0.247595;0;0.0567075;0.008789
15.01.2016 02:30;-1.771851836;0;1.4;100;0;1.673666667;0.087103333;0;-0.13132;0
15.01.2016 02:45;-1.770452344;0;1;100;0;2.265259259;0.020804444;0;-0.01491;0.001586425
15.01.2016 03:00;-1.929586409;0;1.4;191.1444444;0;1.610796296;0.000577778;0;0.1015;0.00317285
15.01.2016 03:15;-2.00828466;0;1.4;100;0;2.078611111;0;0;0.21791;0.004759275
15.01.2016 03:30;-1.993817111;0;1.3;100;0;2.647666667;0;0;0.33432;0.0063457
15.01.2016 03:45;-1.732782608;0;1.4;100;0;1.167611111;0;0;0.2118675;0.057616775
15.01.2016 04:00;-1.824757226;0;1.8;191.1444444;0;1.437166667;0.018318889;0;0.089415;0.10888785
15.01.2016 04:15;-1.588674599;0;2.6;100;0;1.015888889;0.008315556;0;-0.0330375;0.160158925
15.01.2016 04:30;-1.67206484;0;2.6;100;0;1.266555556;0.002371111;0;-0.15549;0.21143
15.01.2016 04:45;-1.681551498;0;3;100;39.46657203;3.887888889;0.42413;0;-0.1136345;0.1859175
15.01.2016 05:00;-1.945943842;0;0.2;303.1444444;8.243018209;1.371888889;1.024442222;0;-0.071779;0.160405
15.01.2016 05:15;-1.947318456;0;0.4;708;20.23286288;0.891555556;0;0;-0.0299235;0.1348925
15.01.2016 05:30;-2.100465338;0;0.2;708;18.23455543;1.449666667;0;0;0.011932;0.10938
15.01.2016 05:45;-2.317355854;0;0.6;720;9.741748792;2.127;6.78E-05;0;0.03146325;0.082035
15.01.2016 06:00;-2.078292561;0;1.5;799.1444444;0;2.438333333;0;0;0.0509945;0.05469
15.01.2016 06:15;-1.972835071;0;2.4;672;7.993229778;1.939074074;0;0;0.07052575;0.027345
15.01.2016 06:30;-1.74216181;0;2.7;660;0;2.471703704;0;0;0.090057;0
15.01.2016 06:45;-0.899841087;0.007001586;2.9;660;0;2.727;0;4.1415;0.11267775;0
15.01.2016 07:00;1.7411308;1.974858009;2.6;751.1444444;0;1.901777778;0;8.283;0.1352985;0
15.01.2016 07:15;4.884034187;5.041201514;3.2;660;0;2.615603175;0;12.4245;0.15791925;0
15.01.2016 07:30;7.407546865;7.868759855;2.528571429;660;0;2.122936508;0;16.566;0.18054;0
15.01.2016 07:45;12.4711702;12.6353743;3.5;660;0;1.986793651;0;31.6375;0.05599;0.0061035
15.01.2016 08:00;17.59785944;17.82652523;3.3;751.1444444;0;2.477047619;0;46.709;-0.06856;0.012207
15.01.2016 08:15;26.17621066;26.39024558;3.7;660;0;3.011396825;0;61.7805;-0.19311;0.0183105
15.01.2016 08:30;32.5263294;32.59024599;3.4;660;7.993229778;2.117;0;76.852;-0.31766;0.024414
15.01.2016 08:45;37.20164701;37.03891698;3;660;0;2.039333333;0.00058;95.004;-0.34215;0.0441905
15.01.2016 09:00;40.1607945;40.10264421;2.5;1074.144444;0;2.160238095;0;113.156;-0.36664;0.063967
15.01.2016 09:15;49.70245658;49.40273991;2.2;983;0;2.856539683;0;131.308;-0.39113;0.0837435
15.01.2016 09:30;62.32312938;61.79647874;2;983;0;4.008444444;0.000335556;149.46;-0.41562;0.10352
15.01.2016 09:45;72.94104554;72.4242055;2;983;9.242171931;4.083555556;0.000547778;151.515;-0.25824;0.07910485
15.01.2016 10:00;88.22458437;87.79100377;2.1;1625.655556;6.744287625;3.456;0;153.57;-0.10086;0.0546897
15.01.2016 10:15;101.374845;101.1415534;2.4;1544.866667;0;2.652555556;0;155.625;0.05652;0.03027455
15.01.2016 10:30;107.0529947;106.3490059;2.6;1820.255556;8.492806639;2.62637037;0;157.68;0.2139;0.0058594
15.01.2016 10:45;118.342373;117.4801009;1.8;1132.033333;0;3.477851852;0;155.545;0.277055;0.00439455
15.01.2016 11:00;127.9891514;127.2864276;1.9;746.3222222;0;2.96647619;0;153.41;0.34021;0.0029297
15.01.2016 11:15;133.753394;132.3371615;2.1;875.1555556;7.243864486;2.346579365;0;151.275;0.403365;0.00146485
15.01.2016 11:30;179.0679572;167.3878222;2.4;660;0;2.510240741;0;149.14;0.46652;0
15.01.2016 11:45;216.4433548;193.7703044;3;660;0;1.84405291;0;139.415;0.4822525;0
15.01.2016 12:00;236.7340058;210.9174253;3.1;811.1444444;0;1.589206349;0;129.69;0.497985;0
15.01.2016 12:15;288.1893531;242.4584174;3.6;708;0;1.892074074;0;119.965;0.5137175;0
15.01.2016 12:30;274.6023123;251.1337723;3.5;720;0;1.69305291;0;110.24;0.52945;0
15.01.2016 12:45;284.8125965;263.7852906;3.828571429;708;0;2.14515873;0;100.61025;0.5122675;0
