Latitude (decimal degrees):	47.281
Longitude (decimal degrees):	9.671
Elevation (m):	682
Radiation database:	PVGIS-CMSAF


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160101:0055,0.00,0.00,0.00,0.00,5.09,0.94,0
20160101:0155,0.00,0.00,0.00,0.00,5.21,0.97,0
20160101:0255,0.00,0.00,0.00,0.00,5.32,1.00,0
20160101:0355,0.00,0.00,0.00,0.00,5.44,1.03,0
20160101:0455,0.00,0.00,0.00,0.00,5.19,0.88,0
20160101:0555,0.00,0.00,0.00,0.00,4.93,0.72,0
20160101:0655,0.00,0.00,0.00,0.00,4.68,0.57,0
20160101:0755,0.00,35.60,0.00,5.46,5.13,0.46,0
20160101:0855,5.20,77.25,0.00,12.11,5.59,0.35,0
20160101:0955,56.03,133.66,0.00,16.90,6.04,0.25,0
20160101:1055,56.43,158.26,0.00,19.41,7.10,0.46,0
20160101:1155,45.42,157.61,0.00,19.36,8.17,0.68,0
20160101:1255,5.50,109.90,0.00,16.78,9.23,0.90,0
20160101:1355,7.05,79.50,0.00,11.92,8.96,1.03,0
20160101:1455,16.87,29.06,0.00,5.21,8.68,1.17,0
20160101:1555,0.00,0.00,0.00,0.00,8.41,1.31,0
20160101:1655,0.00,0.00,0.00,0.00,7.19,1.66,0
20160101:1755,0.00,0.00,0.00,0.00,5.98,2.01,0
20160101:1855,0.00,0.00,0.00,0.00,4.76,2.36,0
20160101:1955,0.00,0.00,0.00,0.00,4.56,2.31,0
20160101:2055,0.00,0.00,0.00,0.00,4.35,2.26,0
20160101:2155,0.00,0.00,0.00,0.00,4.15,2.21,0
20160101:2255,0.00,0.00,0.00,0.00,4.08,2.40,0
20160101:2355,0.00,0.00,0.00,0.00,4.02,2.59,0
20160102:0055,0.00,0.00,0.00,0.00,3.96,2.79,0
20160102:0155,0.00,0.00,0.00,0.00,3.94,2.79,0
20160102:0255,0.00,0.00,0.00,0.00,3.91,2.80,0
20160102:0355,0.00,0.00,0.00,0.00,3.89,2.80,0
20160102:0455,0.00,0.00,0.00,0.00,3.78,2.83,0
