timeUTC;pVer
01.01.2022 00:00;191
01.01.2022 00:15;100
01.01.2022 00:30;100
01.01.2022 00:45;100
01.01.2022 01:00;191.1444444
01.01.2022 01:15;100
01.01.2022 01:30;100
01.01.2022 01:45;100
01.01.2022 02:00;191.1444444
01.01.2022 02:15;100
01.01.2022 02:30;100
01.01.2022 02:45;100
01.01.2022 03:00;191.1444444
01.01.2022 03:15;100
01.01.2022 03:30;100
01.01.2022 03:45;100
01.01.2022 04:00;191.1444444
01.01.2022 04:15;100
01.01.2022 04:30;100
01.01.2022 04:45;100
01.01.2022 05:00;191.1444444
01.01.2022 05:15;100
01.01.2022 05:30;100
01.01.2022 05:45;100
01.01.2022 06:00;303.1444444
01.01.2022 06:15;708
01.01.2022 06:30;708
01.01.2022 06:45;720
01.01.2022 07:00;799.1444444
01.01.2022 07:15;672
01.01.2022 07:30;660
01.01.2022 07:45;660
01.01.2022 08:00;751.1444444
01.01.2022 08:15;660
01.01.2022 08:30;660
01.01.2022 08:45;660
01.01.2022 09:00;751.1444444
01.01.2022 09:15;660
01.01.2022 09:30;660
01.01.2022 09:45;660
01.01.2022 10:00;1997.811111
01.01.2022 10:15;988.6666667
01.01.2022 10:30;964.3333333
01.01.2022 10:45;423
01.01.2022 11:00;1253.455556
01.01.2022 11:15;958.6
01.01.2022 11:30;1616.255556
01.01.2022 11:45;935.4888889
01.01.2022 12:00;746.3222222
01.01.2022 12:15;1029.655556
01.01.2022 12:30;660
01.01.2022 12:45;660
01.01.2022 13:00;811.1444444
01.01.2022 13:15;708
01.01.2022 13:30;720
01.01.2022 13:45;708
01.01.2022 14:00;751.1444444
01.01.2022 14:15;660
01.01.2022 14:30;660
01.01.2022 14:45;660
01.01.2022 15:00;751.1444444
01.01.2022 15:15;660
01.01.2022 15:30;660
01.01.2022 15:45;660
01.01.2022 16:00;751.1444444
01.01.2022 16:15;660
01.01.2022 16:30;660
01.01.2022 16:45;660
01.01.2022 17:00;751.1444444
01.01.2022 17:15;660
01.01.2022 17:30;660
01.01.2022 17:45;660
01.01.2022 18:00;751.1444444
01.01.2022 18:15;1226.5
01.01.2022 18:30;1025.077778
01.01.2022 18:45;878.5888889
01.01.2022 19:00;751.1444444
01.01.2022 19:15;660
01.01.2022 19:30;660
01.01.2022 19:45;660
01.01.2022 20:00;751.1444444
01.01.2022 20:15;660
01.01.2022 20:30;660
01.01.2022 20:45;660
01.01.2022 21:00;751.1444444
01.01.2022 21:15;660
01.01.2022 21:30;660
01.01.2022 21:45;659.3777778
01.01.2022 22:00;191.1444444
01.01.2022 22:15;100
01.01.2022 22:30;100
01.01.2022 22:45;100
01.01.2022 23:00;191.1444444
01.01.2022 23:15;100
01.01.2022 23:30;100
01.01.2022 23:45;100
02.01.2022 00:00;191.1444444
02.01.2022 00:15;100
02.01.2022 00:30;100
02.01.2022 00:45;100
02.01.2022 01:00;191.1444444
02.01.2022 01:15;100
02.01.2022 01:30;100
02.01.2022 01:45;100
02.01.2022 02:00;191.1444444
02.01.2022 02:15;100
02.01.2022 02:30;100
02.01.2022 02:45;100
02.01.2022 03:00;191.1444444
02.01.2022 03:15;100
02.01.2022 03:30;100
02.01.2022 03:45;100
02.01.2022 04:00;191.1444444
02.01.2022 04:15;100
02.01.2022 04:30;100
02.01.2022 04:45;100
02.01.2022 05:00;303.1444444
02.01.2022 05:15;708
02.01.2022 05:30;708
02.01.2022 05:45;720
02.01.2022 06:00;799.1444444
02.01.2022 06:15;672
02.01.2022 06:30;660
02.01.2022 06:45;660
02.01.2022 07:00;751.1444444
02.01.2022 07:15;660
02.01.2022 07:30;660
02.01.2022 07:45;660
02.01.2022 08:00;751.1444444
02.01.2022 08:15;660
02.01.2022 08:30;660
02.01.2022 08:45;660
02.01.2022 09:00;1986.477778
02.01.2022 09:15;983
02.01.2022 09:30;994.3333333
02.01.2022 09:45;988.6666667
02.01.2022 10:00;1296.911111
02.01.2022 10:15;968.9
02.01.2022 10:30;1602.922222
02.01.2022 10:45;937.3777778
02.01.2022 11:00;559.6555556
02.01.2022 11:15;1018.455556
02.01.2022 11:30;660
02.01.2022 11:45;660
02.01.2022 12:00;811.1444444
02.01.2022 12:15;708
02.01.2022 12:30;720
02.01.2022 12:45;708
02.01.2022 13:00;751.1444444
02.01.2022 13:15;660
02.01.2022 13:30;660
02.01.2022 13:45;660
02.01.2022 14:00;751.1444444
02.01.2022 14:15;660
02.01.2022 14:30;660
02.01.2022 14:45;660
02.01.2022 15:00;751.1444444
02.01.2022 15:15;660
02.01.2022 15:30;660
02.01.2022 15:45;660
02.01.2022 16:00;751.1444444
02.01.2022 16:15;660
02.01.2022 16:30;660
02.01.2022 16:45;660
02.01.2022 17:00;751.1444444
02.01.2022 17:15;1226.5
02.01.2022 17:30;1025.077778
02.01.2022 17:45;878.5888889
02.01.2022 18:00;751.1444444
02.01.2022 18:15;660
02.01.2022 18:30;660
02.01.2022 18:45;660
02.01.2022 19:00;751.1444444
02.01.2022 19:15;660
02.01.2022 19:30;660
02.01.2022 19:45;660
02.01.2022 20:00;751.1444444
02.01.2022 20:15;660
02.01.2022 20:30;660
02.01.2022 20:45;659.3777778
02.01.2022 21:00;191.1444444
02.01.2022 21:15;100
02.01.2022 21:30;100
02.01.2022 21:45;100
02.01.2022 22:00;191.1444444
02.01.2022 22:15;100
02.01.2022 22:30;100
02.01.2022 22:45;100
02.01.2022 23:00;191.1444444
02.01.2022 23:15;100
